sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.wind,HOME.dataRecorderFileIndex,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.message,APP.tip,APP.warning
6/20/2023,8:51:20.53 AM,0m 0.0s,0,43.0666047014294,-77.6229702684805,0,0,0.3,534,0,,,,,,,,,-6,-0.3,34.9,34.9,Starting Motors,Other,,24,5,True,,Mini 3 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,34.6,34.6,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.637,1270,2265,7.637,True,3.819,3.819,,False,False,0.964,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,Calm,,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:20.73 AM,0m 0.2s,0.2,43.0666047375889,-77.622970233994,0,0,0.3,534,0,,,,,,,,,-6.1,-0.4,34.9,34.9,Starting Motors,Other,,24,5,True,,Mini 3 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,34.7,34.7,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.637,1270,2265,7.637,True,3.819,3.819,,False,False,0.964,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,Calm,,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:20.94 AM,0m 0.4s,0.4,43.0666047644472,-77.6229702090756,0,0,0,534,0,,,,,,,,,-6,-0.3,35.2,35.2,Starting Motors,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,34.9,34.9,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.637,1270,2265,7.637,False,3.819,3.818,0.001,False,False,0.964,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,Calm,,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:21.14 AM,0m 0.6s,0.6,43.0666047846468,-77.6229701909111,0,0,0,534,0,,,,,,,,,-6,-0.2,35.2,35.2,Starting Motors,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,35,35,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.608,1269,2265,7.608,False,3.806,3.802,0.004,False,False,1.193,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,Calm,,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:21.34 AM,0m 0.8s,0.8,43.0666047966968,-77.6229701411699,0,0,0,534,0,,,,,,,,,-6.1,-0.3,35.2,35.2,Starting Motors,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,35.1,35.1,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.608,1269,2265,7.608,False,3.806,3.802,0.004,False,False,1.193,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0666020873704,-77.6229689687034,1,313.7,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,41,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,Data Recorder File Index is 41.,,
6/20/2023,8:51:21.54 AM,0m 1.0s,1,43.0666048026714,-77.6229700958276,0,0,0,534,0,,,,,,,,,-6.1,-0.3,35.2,35.2,Starting Motors,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,35.1,35.1,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.608,1269,2265,7.608,False,3.806,3.802,0.004,False,False,1.193,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0666020873704,-77.6229689687034,1,313.7,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,41,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:21.75 AM,0m 1.2s,1.2,43.066604804483,-77.6229700591123,0,0,0,534,0,,,,,,,,,-6.1,-0.3,35.2,35.2,Starting Motors,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,35.1,35.1,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.608,1269,2265,7.608,False,3.806,3.802,0.004,False,False,1.193,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0666020873704,-77.6229689687034,1,313.7,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,41,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:21.95 AM,0m 1.4s,1.4,43.0666048025718,-77.6229700300481,0,0,0,534,0,,,,,,,,,-6.1,-0.3,35.2,35.2,Starting Motors,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,35.1,35.1,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.608,1269,2265,7.608,False,3.806,3.802,0.004,False,False,1.193,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0666020873704,-77.6229689687034,1,313.7,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,41,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:22.15 AM,0m 1.6s,1.6,43.0666048000502,-77.6229700079395,0,0,0,534,0,,,,,,,,,-6.1,-0.3,35.2,35.2,Manual Takeoff,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,35.1,35.1,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.605,1269,2265,7.605,False,3.804,3.801,0.004,False,False,3.048,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0666020873704,-77.6229689687034,1,313.7,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,41,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
6/20/2023,8:51:22.35 AM,0m 1.8s,1.8,43.0666047936617,-77.6229699922357,0,0,0,534,0,,,,,,,,,-6.1,-0.3,35.2,35.2,Manual Takeoff,Other,,24,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,35.1,35.1,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,N,False,False,False,False,False,0,False,False,False,False,57,7.605,1269,2265,7.605,False,3.804,3.801,0.004,False,False,3.048,100.6,100.5,100.5,,,,,,,,,Idle,,,True,,False,8,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0666020873704,-77.6229689687034,1,313.7,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,41,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,180.6,0.7,59,13.23575,6.487126,0,8942,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6ACA001NV,DJI Fly,, 1.8.0,61EABE4C-BCDC-32F4-D0CC-A1B5A0612123,1581F4XF3229R006W0A6,,,,,,,,,,
